GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13021012102,13021012102,"Census Tract 121.02, Bibb County, Georgia",831,49,-,**,672,81,863,42,913,745,1219,465,-,**
1400000US13021012200,13021012200,"Census Tract 122, Bibb County, Georgia",673,118,-,**,382,307,584,87,861,74,-,**,-,**
1400000US13021012300,13021012300,"Census Tract 123, Bibb County, Georgia",666,161,-,**,501,92,665,391,725,299,1464,1076,-,**
1400000US13021012400,13021012400,"Census Tract 124, Bibb County, Georgia",731,177,-,**,-,**,640,182,959,90,867,658,-,**
1400000US13021012500,13021012500,"Census Tract 125, Bibb County, Georgia",762,57,-,**,635,194,655,290,921,211,-,**,-,**
1400000US13021012600,13021012600,"Census Tract 126, Bibb County, Georgia",705,106,-,**,586,42,726,160,701,122,860,105,-,**
1400000US13021012700,13021012700,"Census Tract 127, Bibb County, Georgia",616,53,-,**,566,161,605,147,711,119,-,**,-,**
1400000US13021012800,13021012800,"Census Tract 128, Bibb County, Georgia",584,63,-,**,-,**,516,46,696,194,811,231,-,**
1400000US13021012900,13021012900,"Census Tract 129, Bibb County, Georgia",752,114,-,**,713,242,595,54,845,68,780,30,-,**
1400000US13021013101,13021013101,"Census Tract 131.01, Bibb County, Georgia",827,59,-,**,-,**,715,145,836,54,942,159,-,**
1400000US13021013102,13021013102,"Census Tract 131.02, Bibb County, Georgia",792,128,-,**,-,**,748,192,920,229,1029,134,-,**
1400000US13021013201,13021013201,"Census Tract 132.01, Bibb County, Georgia",821,133,-,**,679,40,712,83,950,94,-,**,-,**
1400000US13021013202,13021013202,"Census Tract 132.02, Bibb County, Georgia",612,158,-,**,-,**,618,230,586,306,-,**,-,**
1400000US13021013302,13021013302,"Census Tract 133.02, Bibb County, Georgia",711,111,-,**,-,**,629,73,917,249,968,400,-,**
